epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,91.0077,0.93629,0.76092,1.17687,0.81297,0.96654,0.93543,0.64459,1.12365,0.93957,1.35285,0.0007922,0.0007922,0.0007922
63,92.2317,0.90634,0.75326,1.18181,0.9411,0.88777,0.95976,0.66464,1.10098,0.93421,1.36852,0.0007724,0.0007724,0.0007724
64,93.4717,0.88846,0.77288,1.17709,1,0.92124,0.97962,0.70075,1.08596,0.84507,1.35623,0.0007526,0.0007526,0.0007526
65,94.6948,0.86498,0.72033,1.15139,0.99365,0.94444,0.98786,0.75799,0.96128,0.78037,1.22359,0.0007328,0.0007328,0.0007328
66,95.913,0.90524,0.75862,1.16961,0.89957,0.99545,0.97459,0.75843,0.92286,0.78394,1.18482,0.000713,0.000713,0.000713
67,97.1503,0.94474,0.76027,1.22146,0.94415,0.93942,0.9723,0.71839,0.98649,0.82396,1.22084,0.0006932,0.0006932,0.0006932
68,98.3753,0.95788,0.8173,1.23083,0.93402,0.94444,0.9723,0.69139,1.06257,0.82269,1.26716,0.0006734,0.0006734,0.0006734
69,99.5975,0.83108,0.66728,1.15717,0.94393,0.94444,0.96246,0.69117,1.08012,0.79183,1.29146,0.0006536,0.0006536,0.0006536
70,100.817,0.91729,0.75367,1.25686,0.93824,0.88889,0.91995,0.70864,1.00581,0.81899,1.27317,0.0006338,0.0006338,0.0006338
71,102.023,0.88712,0.7498,1.15689,0.88939,0.94444,0.93612,0.71155,0.97306,0.82055,1.25705,0.000614,0.000614,0.000614
72,103.255,0.95688,0.74915,1.21533,0.856,0.99111,0.97282,0.7105,1.00549,0.84969,1.28944,0.0005942,0.0005942,0.0005942
73,104.455,0.8274,0.64737,1.12213,0.89428,0.94013,0.97312,0.66604,1.08767,0.84688,1.33367,0.0005744,0.0005744,0.0005744
74,105.695,0.8344,0.66065,1.12574,0.93633,0.88889,0.96866,0.69968,1.09424,0.85352,1.34643,0.0005546,0.0005546,0.0005546
75,106.996,0.9485,0.71193,1.23513,0.93783,0.88889,0.9567,0.71627,0.96685,0.82532,1.25095,0.0005348,0.0005348,0.0005348
76,108.216,0.82803,0.67643,1.14148,0.88455,0.88889,0.94864,0.71466,0.90769,0.88646,1.21695,0.000515,0.000515,0.000515
77,109.424,0.88498,0.73072,1.18485,0.88482,0.85433,0.96569,0.66514,0.99679,0.93386,1.27563,0.0004952,0.0004952,0.0004952
78,110.631,0.80143,0.61816,1.1299,0.94042,0.88889,0.97634,0.72792,0.95132,0.8676,1.21657,0.0004754,0.0004754,0.0004754
79,111.854,0.84067,0.66649,1.18733,1,0.88765,0.98154,0.75125,0.98569,0.85126,1.24101,0.0004556,0.0004556,0.0004556
80,113.082,0.8415,0.6857,1.17669,0.93446,0.88889,0.97634,0.71432,1.06697,0.87411,1.32138,0.0004358,0.0004358,0.0004358
81,114.33,0.90694,0.72674,1.19508,0.85433,0.97808,0.97213,0.70097,1.07905,0.86812,1.33554,0.000416,0.000416,0.000416
82,115.559,0.859,0.66799,1.14418,0.94419,0.94006,0.96878,0.67873,1.09768,0.8471,1.33972,0.0003962,0.0003962,0.0003962
83,116.785,0.80128,0.6411,1.13605,0.9441,0.93857,0.97035,0.66409,1.14523,0.83089,1.36343,0.0003764,0.0003764,0.0003764
84,118.013,0.85035,0.69357,1.15531,0.85632,0.99362,0.97628,0.66377,1.15987,0.80219,1.37542,0.0003566,0.0003566,0.0003566
85,119.237,0.8188,0.65078,1.10966,0.89658,1,0.98056,0.68975,1.13419,0.77163,1.34484,0.0003368,0.0003368,0.0003368
86,120.454,0.73113,0.59942,1.07329,0.94482,1,0.98079,0.69746,1.04862,0.75284,1.26929,0.000317,0.000317,0.000317
